T28,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
144,Sri Lanka,2017,Patents in force (number),826.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
144,Sri Lanka,2018,Patents in force (number),850.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2010,Resident patent filings (per million population),7.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2016,Resident patent filings (per million population),7.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2017,Resident patent filings (per million population),7.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2018,Resident patent filings (per million population),8.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2005,Grants of patents (number),174.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2010,Grants of patents (number),125.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2016,Grants of patents (number),164.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2017,Grants of patents (number),177.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2018,Grants of patents (number),204.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2016,Patents in force (number),164.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2017,Patents in force (number),177.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
729,Sudan,2018,Patents in force (number),204.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,1985,Resident patent filings (per million population),460.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,1995,Resident patent filings (per million population),446.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2005,Resident patent filings (per million population),555.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2010,Resident patent filings (per million population),614.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2016,Resident patent filings (per million population),563.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2017,Resident patent filings (per million population),574.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2018,Resident patent filings (per million population),578.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,1985,Grants of patents (number),5681.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,1995,Grants of patents (number),1541.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2005,Grants of patents (number),1911.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2010,Grants of patents (number),1380.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2016,Grants of patents (number),866.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2017,Grants of patents (number),1031.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2018,Grants of patents (number),1063.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2005,Patents in force (number),102741.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2010,Patents in force (number),96796.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2016,Patents in force (number),93545.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2017,Patents in force (number),96876.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
752,Sweden,2018,Patents in force (number),100974.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,1985,Resident patent filings (per million population),493.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,1995,Resident patent filings (per million population),410.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2005,Resident patent filings (per million population),897.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2010,Resident patent filings (per million population),1069.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2016,Resident patent filings (per million population),1042.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2017,Resident patent filings (per million population),1020.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2018,Resident patent filings (per million population),1081.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,1985,Grants of patents (number),6421.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,1995,Grants of patents (number),1303.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2010,Grants of patents (number),741.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2016,Grants of patents (number),617.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2017,Grants of patents (number),771.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2018,Grants of patents (number),614.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2005,Patents in force (number),99531.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2010,Patents in force (number),123033.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2016,Patents in force (number),193883.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2017,Patents in force (number),208022.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
756,Switzerland,2018,Patents in force (number),244581.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,1995,Resident patent filings (per million population),9.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,2005,Resident patent filings (per million population),6.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,2017,Resident patent filings (per million population),7.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,2018,Resident patent filings (per million population),6.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,1995,Grants of patents (number),71.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,2005,Grants of patents (number),72.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,2016,Grants of patents (number),32.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
760,Syrian Arab Republic,2017,Grants of patents (number),3.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
